Nro,Identificacion,Nombres,Apellidos,NroCuenta,IdBanco,Saldo
37475,4052318579,Lucia,Rodriguez Mendoza,9461661436810340,4,499828.6985
25102,177931096,Sofia Sofia Carlos,Lopez Lopez,1703467416521980,6,499828.6956
2969,8484887259,Diego,Claros,994674927315429,9,499826.8718
116757,2564072435,Lucia,Claros,1787050519415720,14,499825.9325
89241,7132245274,Carlos,Mamani Vargas,3261831534106920,14,499822.6036
49698,2021122200,Jose,Quispe,493732120512251,11,499820.5706
114245,2566959906,Juan Ricardo,Mendoza Flores,3370707909759160,2,499810.8479
2340,7026667212,Jorge Ricardo,Mamani,5316377975188700,10,499808.9283
95845,2155937903,Lucia,Rodriguez,8073067212186660,11,499805.7612
22539,2563917899,Lucia Jose Sofia,Mendoza,937225569003335,11,803.1701
57380,8627994992,Sofia Lucia,Perez Rodriguez,1948973694259380,5,499793.8428
78353,2491209784,Maria Luis Diego,Perez Mendoza,3314228928444150,10,499782.7894
13620,5523492391,Ana Jose,Mendoza Garcia,4738621873051370,5,499780.7884
72109,8590232975,Luis Lucia,Garcia,1597071485680350,14,499774.9185
116309,1007513822,Jose Diego Maria,Garcia,5531290194070550,4,499774.2379
13338,2186977218,Maria,Mendoza Claros,7963744529623190,6,9770.5138
115682,513224919,Diego Juan Ricardo,Rodriguez Mamani,8193111535673600,4,499766.9841
99522,8831758811,Diego,Flores,8781138280078170,13,499759.8882
45419,2432968927,Carlos Ana,Perez,5891917277404680,11,499755.4077
30322,392938287,Jorge Luis Elena,Mamani Lopez,9522313124195750,11,499751.2346
2256,9180563117,Carlos,Mendoza,1319140152079020,4,49.5774
16054,6842588646,Jorge Diego,Lopez Vargas,9603453184421260,7,499747.8377
29419,5637740295,Ana Diego Jose,Flores Quispe,2961033813344990,6,499732.6426
71281,1932930077,Lucia Sofia Jose,Mendoza,5502245164012710,4,499727.0763
66056,1540725333,Sofia Juan,Perez Mamani,7177928748530680,2,499719.9828
60737,6369702828,Juan Lucia,Claros,2440030005591290,10,499719.7317
67943,3002146744,Jose Maria,Quispe,9454546084700500,1,718.5974
66442,5320891721,Lucia,Perez,9295509247236390,11,499715.2599
123349,3772450705,Juan,Garcia,2889326176817250,4,499711.7581
1782,9996030695,Juan Carlos,Quispe,1351239202438030,4,499710.6767
57581,1076993576,Diego,Flores Garcia,8523693314570330,4,499707.25
55957,8399772312,Carlos,Vargas,5889830136385880,5,499701.3268
48555,6717253144,Carlos,Mendoza,4813127221486350,12,499700.0944
32304,3687332909,Carlos Ana Ana,Mamani Quispe,9539325159741070,12,499697.4009
113540,7249170095,Jose,Quispe Flores,3815314956845740,13,499695.406
106792,1358132317,Lucia Elena,Garcia,7892553085287790,3,499691.3183
57756,6401014209,Lucia,Garcia,8271280119302320,4,499683.8183
72764,1081733210,Diego Luis,Garcia,2601937046370930,3,499682.7854
29470,961140613,Diego Luis,Mamani,4806676903621540,1,199681.8902
49705,9364471681,Jose Jorge Elena,Quispe,3922580738983470,6,499675.6563
84762,2658866238,Luis Juan,Flores,6181731820713610,5,499675.4781
33816,6493430651,Juan Jorge Diego,Mamani Rodriguez,6026797156697080,2,499670.2167
102355,4211706934,Lucia Carlos,Flores,9093079856769520,14,499662.0184
94391,9599330297,Juan,Flores Quispe,6653382377195510,5,499659.2874
35378,1318486596,Juan Carlos Ana,Flores Lopez,8278312437970470,9,499655.564
21778,2870193660,Ricardo Carlos,Claros,5223855016322340,14,499646.9192
78395,5459798781,Juan Ricardo,Flores Flores,8508221839813730,13,499638.089
37685,1407067749,Diego Elena,Martinez Lopez,5687222400150660,13,499631.125
99416,9233015211,Elena Jose,Perez,2478507155549270,6,9626.0684
48709,1053681630,Juan Carlos Carlos,Vargas Garcia,7452641730221720,9,499623.0979
38229,9310815136,Jorge,Flores,2579907291886900,11,499621.2642
7532,5122753743,Jose Juan Ricardo,Quispe,3210365315889140,3,499611.9073
12625,1499782172,Luis,Rodriguez Rodriguez,6167651252418220,1,499608.79
67133,9064956802,Ricardo Carlos,Quispe,5480537178666220,2,499606.6923
39306,9421784010,Diego,Rodriguez,6571716180650670,6,499600.1244
22718,6833900886,Ricardo,Perez Lopez,5238443172523170,5,595.1705
56277,2491858251,Juan Sofia Ricardo,Rodriguez,7616071248718140,10,499589.7314
33846,624739755,Jorge,Quispe Choque,6805200606760920,3,499589.5734
19262,925384930,Maria Elena,Martinez Flores,5077429190321070,10,499588.3869
111409,6650424678,Diego Jose,Mendoza,7669666152554190,8,499587.2715
40996,1297982123,Sofia Juan,Choque,6608502632132960,14,499582.9315
86495,2842253841,Juan,Mendoza,2612691845152950,3,499581.2373
46851,9668615101,Elena Ricardo,Mendoza,5288292120900960,1,499578.1378
79812,7853512254,Lucia Jorge Juan,Garcia,6075002573902430,3,499566.9384
5360,5747402326,Maria,Mendoza Flores,1020400592631060,5,499565.9895
26152,2079710008,Luis Carlos,Rodriguez,9803583957024920,6,499562.6471
5614,4621552727,Jose Ricardo Ricardo,Flores Mamani,7864624002944150,13,499560.2606
48662,6739233307,Ana,Rodriguez Mamani,7202220449949530,3,9557.3214
79123,913622391,Jorge Jose,Garcia Choque,6305331300781750,4,499555.3109
74988,9922887092,Carlos Ricardo,Flores,3012681453674510,1,499545.3465
27894,5388302839,Jorge,Garcia Mamani,3505914430210930,1,499544.9309
119114,5161926030,Juan Carlos Diego,Quispe Garcia,7763466060082710,11,499544.0088
5719,5835017697,Juan,Vargas,6495551173223510,5,499538.6211
13340,5463784924,Ricardo,Mendoza,9178070367995980,3,499534.3086
69166,6285036454,Diego Luis Carlos,Perez Rodriguez,9947038923332490,5,499534.1162
113664,6987097069,Jorge Luis Jose,Lopez,5481261256936250,1,499532.9077
103400,7187202167,Maria,Lopez Garcia,1572267126279590,1,499521.1496
110119,728417979,Ana Carlos Luis,Lopez,9212121569371970,9,499515.51
39831,4594211510,Sofia Carlos Luis,Garcia Quispe,7113530593780120,7,499514.6982
71203,7626242658,Ricardo Elena,Garcia,4080513520547150,4,499512.0472
67073,9531739005,Luis Ana,Lopez Claros,906422881111080,8,2510.5827
120483,3810692199,Ricardo Lucia,Flores Claros,56581126162631,4,499506.6712
59206,5124590362,Carlos,Lopez,9284584476601640,1,499503.8053
61914,6601300763,Maria Juan Jorge,Vargas Quispe,1721203559510770,4,6492.7661
105305,6616454675,Jose Maria,Claros Perez,8422435054140270,7,499481.7087
75228,4219098593,Ana Carlos,Vargas Mendoza,308963499065367,14,499467.0043
16238,8875203393,Sofia Juan,Perez Claros,91905166297156,6,499464.6846
60498,6971002702,Diego Maria Jorge,Vargas Flores,1054679094852480,14,499464.0404
85722,3235149654,Jorge Diego Elena,Rodriguez,2543635800826810,9,499455.131
62110,1436546265,Maria,Garcia,6071974628048060,10,499453.9838
50895,4198315743,Ana Lucia Luis,Rodriguez,7062761674205180,6,499449.8062
116951,2743960770,Diego Jorge,Vargas Mendoza,4865000869459510,11,499448.6406
24261,8099946744,Jose Ana,Mendoza,5343721518684630,11,499447.3009
98356,8276406311,Ana,Garcia Flores,303251366585698,12,7438.4065
105777,9316597818,Ana Luis Maria,Rodriguez Garcia,8475821632145220,13,499428.8953
61908,1383103967,Luis Luis Elena,Vargas,9686869452712480,8,499427.6687
56341,3321965186,Carlos,Vargas Perez,7008649739569400,13,499424.0195
51808,9811965556,Maria Sofia,Claros,3115014695245190,7,499417.8396
89945,1170220025,Jose,Quispe Martinez,6474647224566090,7,499417.4016
89185,6536032698,Ricardo Diego,Flores Perez,8972312060352950,6,499415.945
72112,1356154675,Jorge Jorge Jorge,Rodriguez,5066700264338510,13,499412.9935
89705,5821081571,Jorge Juan Carlos,Perez Lopez,5511419059268720,2,499402.7888
23334,3200903265,Luis Ana,Rodriguez,5172704052247470,14,499399.1918
59431,2455240705,Lucia Maria Juan,Claros,1414602584524710,4,499387.1003
80297,7222837734,Sofia,Flores Flores,1608387324570930,2,2386.1458
111403,5099058854,Luis,Rodriguez,9963503874628970,8,499383.4032
44269,888609044,Maria Ana,Perez,8719374542696760,8,499378.9496
118974,7969552712,Luis Ricardo Juan,Quispe Lopez,6363038578147930,11,499370.2373
26813,6859431749,Carlos,Rodriguez,6156506948359170,3,499366.1479
112528,7825416151,Jose Elena,Vargas Quispe,9596483318735840,13,499350.3015
14196,9622321999,Sofia Elena Maria,Perez Perez,4559294543324630,3,499349.2557
84309,1128452849,Elena Elena Carlos,Choque,3895167744355310,7,499347.4457
38965,3389032683,Ricardo Lucia,Garcia Flores,2837277108842650,8,499342.0587
66921,4975978157,Ricardo Jose Sofia,Quispe Garcia,1389736498423210,1,499341.5183
59140,1392772564,Carlos,Martinez,2848354926671420,12,3309.8431
107411,4292829003,Jose,Garcia,8781109034693210,4,499306.4915
114122,3009845948,Jose Elena,Garcia,9005775868987230,1,499306.1737
81276,2660782803,Ricardo Carlos,Claros Claros,9228160792501030,14,499305.1854
50927,8467337464,Ana Elena Diego,Mendoza,398994375026736,8,499302.64
15389,9442812344,Carlos Juan Maria,Flores,8909444505764830,10,499301.6741
102737,3090303586,Sofia,Quispe Quispe,3332454063307330,14,499300.2449
71936,8709686934,Lucia,Quispe,8254437299723140,1,499297.0628
94063,1588646009,Juan,Perez Rodriguez,2097989637080910,8,499295.0831
93889,9825045883,Ana Sofia,Claros,9606038749321800,12,499283.8095
97700,7374315174,Ana,Garcia,3831462615940140,6,499281.9632
44702,882715091,Diego Sofia Sofia,Mamani,192915354475718,6,499281.7264
107729,2772870954,Lucia,Mamani Flores,8982170580907000,8,499279.7505
11206,5089861241,Carlos Maria,Vargas Vargas,8834357635248120,11,499277.1089
11176,814736418,Jose Jorge Elena,Vargas Mamani,9813113819549830,7,499276.011
61830,7570814679,Juan Sofia Luis,Perez Perez,1456311841015270,6,499273.0067
90784,4869171196,Juan Juan Diego,Mamani Mendoza,9198167819626240,9,499271.4201
119643,5646949393,Luis,Lopez,7897542025653240,8,499270.9569
108853,2439817755,Ana,Quispe,5459369275620870,9,499266.1059
51252,9415716350,Carlos Lucia,Claros Flores,7209462509699770,6,499252.8195
116809,8756685470,Ana Jose Jose,Perez Lopez,6663271675816220,6,499231.7695
50046,1962792787,Sofia,Vargas Claros,3906114307853830,11,9225.5226
97782,7369107310,Ana Carlos Juan,Quispe,7067600668910770,8,499224.8785
2836,1640134993,Jose Lucia Ricardo,Perez,1060428141295530,12,499224.7008
101847,6272730543,Sofia Jose Diego,Vargas,2968494271920820,3,499224.6589
40991,5670374868,Diego Ana,Flores,4045925229966290,13,499214.3471
122857,4447042679,Jose Carlos,Vargas,5297604591354970,2,499211.903
123359,2599251179,Ricardo Lucia,Mamani Flores,1344421646959370,10,499204.8617
13285,6472865234,Lucia Ricardo,Flores,7555401286191310,4,499201.7347
46082,3427821802,Juan Ricardo Lucia,Quispe Perez,9853687027900730,6,499197.5269
41045,1994818199,Jorge Juan Luis,Vargas Rodriguez,797321632394212,11,499195.6343
69848,5026650096,Sofia Jorge,Mamani,1762179103893920,9,499192.3815
12785,8790413972,Juan Jose Ana,Lopez Garcia,7658320496912230,8,9186.3261
99463,9345679389,Lucia Jorge,Lopez Quispe,2584686741366040,10,499186.0573
108521,3119136958,Jose Luis,Lopez,6315929468687320,13,499175.4974
102542,7932031212,Elena Ricardo Ana,Lopez Claros,5971818248438090,11,499175.4016
119032,7064071242,Maria Carlos,Perez,4335389094760770,10,499174.5784
80369,11917367,Lucia Lucia Luis,Lopez Vargas,7742507233960560,9,499169.2761
37907,6802126298,Diego Carlos,Flores Garcia,9843745121906110,5,499169.1963
92582,472638723,Elena Ana Luis,Quispe Martinez,9319667423218900,13,499168.9179
58720,3516003705,Elena,Quispe Garcia,8343332169485860,2,165.3473
48234,1645603692,Diego Sofia Jose,Mamani,872222245079394,9,499165.2511
49588,6102134072,Carlos Luis Maria,Perez Claros,969697430092444,14,499157.0946
40756,133015302,Sofia Diego Jorge,Rodriguez Choque,1414879005144320,2,499155.9086
119653,2930384493,Carlos Ricardo,Vargas,8179259890041350,3,499152.7232
109346,5802276547,Elena Luis,Garcia,1879239882028160,10,499142.7444
108716,8633381401,Lucia Ana Jose,Vargas Quispe,8713064277404750,3,499134.9692
10327,7498613136,Maria,Garcia Mendoza,2026775019955720,12,499121.4168
41713,2010547178,Jose Carlos,Garcia,1730616949453140,12,499118.0804
44973,8613930920,Juan,Vargas Flores,8138072513097230,6,499114.5701
105694,7011833196,Carlos,Garcia Perez,1048033818095550,14,499113.895
19622,8809256716,Maria Maria Juan,Garcia Perez,6459240347392860,4,499109.4665
36839,4493735296,Maria,Vargas,4707605554807200,10,499107.6436
79498,1039443852,Ricardo Elena Luis,Vargas Lopez,7128278839754640,13,297.3545
44898,5065667811,Elena Maria Ana,Claros,3208706309656010,7,297.1744
41011,180181900,Lucia Ana,Martinez,858902429402404,2,9090.4975
54356,1980472340,Elena,Quispe,2462077359084090,13,281.8001
101832,8819382190,Ricardo Jorge Ana,Mendoza,7348500537088320,3,277.9476
82925,1521246066,Sofia Ricardo,Martinez Garcia,2354988680496680,13,276.9617
88880,1050682118,Jorge Elena,Rodriguez,5572392920881300,11,274.1202
14764,1888126585,Jose Jorge,Rodriguez,2340306048409150,5,271.4705
117655,6162075825,Luis Jose,Rodriguez Mendoza,5851058694190710,4,266.01
120681,1309220266,Carlos,Choque Vargas,3794478399283750,4,263.29
28470,1449783326,Ricardo,Perez Vargas,2437578183729420,13,259.452
57983,2340110666,Elena Diego Jorge,Perez,7146685289044380,3,258.7808
3986,6241203347,Lucia Carlos,Mamani,2906710013471650,13,251.9253
10512,3103888626,Diego Carlos Maria,Vargas,9926098125682270,7,250.8574
86879,7959276145,Elena Jorge,Mendoza Flores,2325810302673750,7,249.0468
2418,1175289164,Maria Jorge,Perez,3417699826259720,8,247.0201
7550,6303613060,Diego Juan Carlos,Vargas Garcia,8340123077890920,12,243.5718
44326,3752213937,Luis,Claros Mamani,3438928214543890,13,239.5881
115681,2078187098,Carlos Luis Elena,Lopez Rodriguez,749491689412790,2,238.6773
53554,149647295,Juan Sofia,Perez Rodriguez,2745198159650150,12,234.7971
45712,4894351038,Maria,Rodriguez,8516526349729430,12,227.9246
81924,4902260156,Ana Ricardo Ricardo,Claros,1661139080390140,7,225.5254
85665,1415131188,Lucia Diego Sofia,Quispe,1339896950023180,9,224.0805
11286,5545281240,Luis Luis,Vargas Lopez,5787360158451030,9,223.6744
84078,6211170338,Jorge Sofia,Perez Garcia,3563988671424420,13,206.0012
57571,6051955162,Luis Ricardo,Flores Lopez,2614184267322090,2,11999.9381
81682,8511692317,Elena Diego Sofia,Perez Lopez,5090855918283710,11,11987.7872
120349,4394235106,Elena,Vargas Perez,6990586444769800,11,11985.9927
29576,2815280658,Juan Juan,Garcia,3932322989187650,13,11976.7882
96951,7777971093,Sofia Jose,Vargas,833309250852355,14,11970.6882
68148,7928887498,Carlos Maria,Quispe Vargas,9776436681083620,5,11967.9734
120269,4345154346,Elena,Mendoza,6315364987415830,4,11963.0682
730,5623367015,Elena Lucia,Lopez,5267320479654160,3,11959.397
57629,8233186398,Luis Jose,Rodriguez Mendoza,1015175443744870,10,11957.0884
77754,8934984135,Jose Elena,Quispe Rodriguez,3355877744765910,3,11955.7855
15015,3069807111,Jose Ana,Mamani Flores,6815778156043840,14,11954.5543
35469,6432590856,Luis Diego Sofia,Vargas,1113012161972500,7,11953.8723
61196,9361848645,Elena Jose,Lopez Garcia,1761836440607540,10,11952.1108
42015,2475940649,Ricardo Sofia,Flores Vargas,4963560604007900,10,11944.1458
95547,1859386217,Ana Maria,Perez Rodriguez,2582547515140940,13,11940.4727
73433,1556992174,Jorge Juan,Lopez,4119389390875790,8,11940.1002
18091,1167180378,Ricardo Juan Lucia,Mamani,1201119239723340,13,11924.5116
83819,8416080753,Luis Ana Maria,Mendoza,7958316034377870,13,11922.984
58381,1948822881,Jose Jorge Elena,Perez Claros,8479209403434910,9,11919.7985
11644,2347264399,Elena,Perez,5585820155099910,1,11919.6464
119031,5010278072,Carlos Ana Ana,Mendoza,5918642667420020,11,11919.0837
102609,5635511938,Jorge Luis,Flores Claros,6980437535053040,10,11915.9996
117622,7299470541,Elena,Rodriguez,4951632966218970,8,11915.2921
24002,3596273187,Carlos Sofia,Mendoza,4201657087158070,3,11912.3767
33899,7715703824,Ana Diego Lucia,Vargas Vargas,8890011900548990,12,11909.5558
22978,5512644881,Jorge Luis Juan,Quispe Mendoza,7155308475098420,8,1697.9283
41534,8521406426,Maria Luis,Lopez Perez,693296008616692,11,1693.291
19661,4219641127,Jose,Rodriguez Lopez,2795919563456170,14,1689.1739
8649,7750435761,Ana,Rodriguez,2300974844053990,3,1686.2616
12843,8171409405,Ricardo,Vargas,4352232528349550,3,1671.4662
35683,9069958759,Ricardo Ana Luis,Claros Garcia,9326429971269640,9,1667.6342
22300,8314622756,Maria Jose,Quispe,5804142642140680,13,1667.157
19070,3712399486,Juan,Claros Perez,6974441071421200,13,1661.2653
24620,5425495285,Maria Sofia,Perez Lopez,6344519287516890,7,1655.2322
47636,7954988639,Ricardo Lucia Luis,Claros Vargas,5794234917734580,6,1650.9091
33151,9740299259,Jose,Lopez,3567690739737160,12,1650.7214
121046,1847382253,Ricardo,Quispe Claros,4613324513067480,7,1648.9789
59526,487208406,Jorge Jose Ana,Martinez Choque,7832391621662810,4,1644.6485
42317,9763660472,Ricardo Ricardo,Claros Vargas,694066044921475,13,1624.3818
22250,8570999713,Maria,Perez,2814453103940550,3,1622.2678
27873,6388821328,Ana,Rodriguez Garcia,1984015094926830,7,1618.4135
83995,7056719295,Lucia Juan Luis,Mamani,1830579471547460,1,1605.8536
35717,1254442255,Jose,Martinez,2220378871824050,10,1605.5012
82177,1225821012,Lucia Diego,Garcia Quispe,9161023998461650,14,1605.0996
91200,4125828338,Maria,Garcia Garcia,4156145003971200,4,11793.841
34612,5023622610,Jose Sofia Sofia,Quispe Claros,7946783420107720,7,11788.1492
115602,3895725925,Jorge,Claros,518405065941267,3,11782.1322
27681,8531833613,Maria Ana Maria,Perez Mamani,5791205121996230,11,11777.0726
12083,6505533843,Juan Diego,Rodriguez,9714106437701490,4,11766.5616
44377,3062922996,Ricardo Juan,Quispe Garcia,3523433879090560,7,11765.3114
27963,6135251721,Ricardo Diego Jose,Quispe Lopez,1081283291697920,3,11765.1967
76414,438519803,Elena,Rodriguez,2197806278279550,7,11764.2124
86162,7299487648,Juan Diego Lucia,Claros,1025729639219570,4,11763.624
8007,1271582394,Sofia Sofia,Choque,2836884129810270,14,11751.717
26362,1385262912,Juan Juan,Perez Garcia,9660198866240780,5,11747.292
122649,7800856091,Maria Luis,Claros,8809537651614630,8,11738.6206
6156,1178114222,Juan Juan,Garcia,430303113218388,8,11729.3748
83703,9524852825,Jorge Juan,Vargas,6193784339057280,9,11723.0307
18480,9167362277,Jorge,Flores,4466906508825760,5,11718.4265
1706,9137854573,Jose Luis Jorge,Claros,3643434312430150,13,11705.8805
58236,290311504,Carlos Sofia Juan,Choque Choque,9879742560663740,13,11705.3167
2361,5153669806,Ana,Mamani,7156052096960790,3,11694.0636
121180,1898889240,Diego,Claros,9499008048269720,2,11691.6502
23682,3854752623,Elena Juan,Rodriguez Lopez,3888863751849680,14,11686.9378
60114,5688254026,Jorge Luis,Flores,2414954107355600,9,11684.4062
19645,3884422170,Carlos Juan,Lopez Quispe,9605539360849110,5,11681.9684
39151,5442316332,Maria,Perez,1847329483838560,6,11675.8256
86870,795855600,Diego Ana,Martinez,4483046838541340,12,11670.0738
88281,1120008448,Ricardo Ricardo Elena,Lopez,2271639834832750,11,11664.5266
109959,8443740332,Jose Diego,Mendoza Quispe,9258433626966720,1,11658.8408
19328,1925560554,Sofia Maria,Rodriguez,5336618619378850,4,11657.8588
118619,5413314859,Juan Jorge Carlos,Garcia,8676613890037970,14,11647.816
70281,2348129238,Maria Lucia Maria,Perez Flores,8212778792744180,9,11647.3668
122544,4097003682,Jose,Quispe,3663522574480810,7,11646.4208
71474,6830912639,Diego Juan,Garcia Flores,9316773868960620,3,11644.6821
112987,9337227542,Elena Carlos,Rodriguez,128547630594572,1,11639.7663
32197,4764318065,Ricardo Luis Sofia,Mamani,2638005038333780,11,11639.7555
70408,8752589253,Jorge Elena Diego,Flores,4384311625669560,7,11624.9136
70789,8108697873,Sofia Diego,Vargas Flores,3294190674081890,3,11618.8499
45848,4084752547,Sofia Ana Elena,Claros,4257316420660000,14,11615.3961
96844,5922662906,Carlos Elena,Quispe Mendoza,4175515214180120,9,11603.9278
7103,3357951183,Jose Juan Ana,Vargas,598329699126373,1,11600.88
111592,9252733572,Carlos Diego Maria,Perez,8641509326545060,10,11600.281
6511,2023159144,Maria Ana Jose,Claros,7378207275744450,12,11595.9726
22669,7688140175,Sofia Ana,Perez Perez,5165974208695380,11,11594.3189
44247,5883010135,Ricardo Jose,Garcia,8610625374169280,7,11594.1869
20596,764708747,Ana Diego Juan,Choque,6843662086440510,7,11592.2812
5098,936839102,Elena Lucia Jose,Rodriguez,8396643959275120,9,11579.4872
11656,8186192725,Ricardo Juan Lucia,Flores Mamani,3861837700585770,10,11575.5976
12590,9052713888,Carlos Ana Sofia,Quispe Mamani,4488706807863430,14,11569.4453
21859,3880889959,Jorge,Lopez Perez,4234413293238890,2,11569.3479
120706,3043810632,Sofia Ana Carlos,Garcia Claros,3362477978470100,3,11567.3449
7231,638978824,Luis Luis Carlos,Perez Garcia,6894493450420180,12,11559.2728
121808,5549720375,Jose,Mendoza Mamani,8943513038169670,4,11558.931
27932,6793850371,Ricardo,Mamani,222944537881687,13,11555.7209
18791,2201152928,Lucia Elena,Mamani Mamani,6830648725531760,12,11550.26
112942,9280433132,Ana Ana Carlos,Perez,6196670864235820,6,11546.5458
118859,4654263688,Jorge Diego Sofia,Claros,6397606585145070,2,11543.3438
80612,2421370898,Lucia Diego,Lopez,4397740136798170,6,11537.4876
119159,1166964824,Sofia Elena Ricardo,Flores,8283721615720990,3,11537.2166
37472,6644136254,Maria Sofia,Garcia,315477007342604,1,11536.8967
66885,9373298854,Sofia,Garcia,9652437872444670,9,11529.5
10906,4145388534,Elena Jose Ricardo,Rodriguez Perez,44758368934748,10,11527.9944
113866,1426459823,Juan,Flores,3776049657670900,3,11518.193
17282,1467664118,Lucia Ana Diego,Flores,4102776809303930,6,11510.8605
96746,1150838617,Sofia Jorge,Flores,4885899179590900,7,11509.937
123551,4777942385,Elena Luis,Flores,1590850067111970,3,11508.9988
10205,1589313745,Lucia Sofia,Lopez Choque,6799584935338350,10,11492.6993
7597,8018664333,Maria Ricardo,Claros Lopez,5623168265898430,13,11491.87
121866,7827558585,Jose,Vargas,3078081054691990,1,11485.5415
43678,4344259661,Elena Jorge,Quispe,9641413978206780,9,11479.7172
23213,2509849353,Jose Jose,Mendoza,3119052828490070,9,11465.4197
7449,6708097187,Jorge,Mendoza,521822978441856,13,11463.7423
42547,8791681540,Diego Diego Carlos,Mamani,629379579947396,3,11460.3462
87033,7925802637,Luis,Claros,669563271809229,12,11454.0456
66840,2836389606,Ricardo Jose,Lopez Quispe,951563258753693,1,11445.5303
89259,9160033579,Juan Luis Juan,Rodriguez Quispe,8193404156368880,4,11437.0829
42966,1350387857,Diego Maria,Quispe,8992139617405180,9,11431.9753
25933,783480722,Jose Luis Jose,Mamani Martinez,6543562749762330,11,11430.3872
52768,5545634202,Jose Maria,Perez,1157793213142690,11,11428.081
71843,3275062219,Luis Maria,Quispe,7101499108233190,11,11415.8315
45492,4577805778,Diego Sofia Ana,Perez Flores,6511563036180660,12,11414.2127
48573,966353709,Lucia Jorge,Quispe Garcia,8901533791613430,6,11406.7098
22470,6145059008,Diego Lucia,Rodriguez,7869263763748540,13,11397.3892
70496,9641299852,Jorge Maria Lucia,Flores Lopez,3436622668496380,13,11397.2986
105370,3026312963,Jose,Claros Claros,8240751320279780,9,11386.8163
112464,3060894627,Sofia Jorge,Flores,3155749963968230,1,11380.0472
12799,7087414343,Maria Sofia,Quispe Mamani,4154217298578430,5,11379.4641
55386,7766110790,Ana Lucia Juan,Lopez Rodriguez,3958349229776630,13,11377.4256
40375,8778299079,Maria,Vargas,7013240632708570,7,11372.949
26029,5347026737,Maria Jose Diego,Lopez,2568808337370580,10,11371.839
97137,3113929367,Ricardo,Lopez,4409889675418400,7,11364.2029
25441,4727463391,Jorge Luis Jose,Garcia Lopez,8216764270765460,5,11356.9921
37459,1550049156,Juan Elena Sofia,Choque Flores,8213156398267730,14,11355.5523
74120,8359912547,Ana,Mamani,4369611161098970,7,11350.7358
